"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @badomega: Forgiveness is not synonymous to Justice! 
#MarcosNOTaHero",FALSE,0,NA,2017-05-01 08:08:21,FALSE,NA,"858956243045670912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","melanyakostina3",4,TRUE,FALSE,NA,NA
"2","*at mayo uno rally, in front of UST*

Us: Never again! Never again! Never again to Martial Law! 

Auq na<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #MarcosNotAHero #mayouno2017",FALSE,7,NA,2017-05-01 03:21:47,FALSE,NA,"858884124852895744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PatriciaNicdao",0,FALSE,FALSE,NA,NA
"3","goodevening #marcosnotahero",FALSE,2,NA,2017-04-30 14:00:04,FALSE,NA,"858682368042745856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","markmillare",0,FALSE,FALSE,NA,NA
"4","RT @kagamster: That Marcos burial is really sneaky. But then again, what do we expect from rats? #MarcosNOTaHero #MarcosBurial #Libingan #O…",FALSE,0,NA,2017-04-30 12:26:42,FALSE,NA,"858658870109102080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yuriynqrag",5,TRUE,FALSE,NA,NA
"5","RT @paigetribdino: Ateneo students rally against Marcos burial #MarcosNOTaHero 

We will never forget his dictatorship and the scars he has…",FALSE,0,NA,2017-04-29 10:24:56,FALSE,NA,"858265840839532544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","l66i1FHCB3Jg4sz",4,TRUE,FALSE,NA,NA
"6","RT @ABSCBNNews: PRESS STOP &amp; REFLECT. These are just some things we take for granted these days. #EDSA30 #ARALngEDSA https://t.co/P1p8MxruKB",FALSE,0,NA,2017-04-26 16:20:30,FALSE,NA,"857268155529519105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tofikfhklents",492,TRUE,FALSE,NA,NA
"7","RT @barayangmariane: #MarcosNotAHero
#DuterteNotWorthy 
#TrumpLies 

leaders of the time. such a heavy subject to argue.",FALSE,0,NA,2017-04-25 14:50:09,FALSE,NA,"856883030996078592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lehviosa_",2,TRUE,FALSE,NA,NA
"8","#MarcosNotAHero
#DuterteNotWorthy 
#TrumpLies 

leaders of the time. such a heavy subject to argue.",FALSE,7,NA,2017-04-25 11:03:41,FALSE,NA,"856826039598686208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","barayangmariane",2,FALSE,FALSE,NA,NA
"9","RT @badomega: Forgiveness is not synonymous to Justice! 
#MarcosNOTaHero",FALSE,0,NA,2017-04-24 07:40:13,FALSE,NA,"856412447191814144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vasmcbkostin",4,TRUE,FALSE,NA,NA
"10","RT @davejordan06: PJ Foronda-Tanglao, UST-SHS Student Activist, speaking in a rally at the People Power Monument #MarcosNOTaHero #NeverAgai…",FALSE,0,NA,2017-04-23 04:44:07,FALSE,NA,"856005742989426688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_alaai",32,TRUE,FALSE,NA,NA
"11","RT @paigetribdino: Ateneo students rally against Marcos burial #MarcosNOTaHero 

We will never forget his dictatorship and the scars he has…",FALSE,0,NA,2017-04-21 20:29:53,FALSE,NA,"855518978499895297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anatoliybuw9s",4,TRUE,FALSE,NA,NA
